id,class
1,8
2,7
3,0
4,1
5,4
6,2
7,4
8,8
9,1
10,1
11,5
12,1
13,0
14,5
15,7
16,6
17,1
18,7
19,9
20,5
21,7
22,3
23,7
24,5
25,6
26,6
27,2
28,7
29,6
30,0
31,9
32,6
33,1
34,5
35,9
36,5
37,8
38,0
39,0
40,8
41,8
42,6
43,7
44,7
45,7
46,8
47,1
48,9
49,6
50,0
51,5
52,1
53,1
54,1
55,3
56,2
57,2
58,6
59,4
60,3
61,5
62,5
63,4
64,6
65,6
66,1
67,7
68,8
69,8
70,3
71,1
72,9
73,9
74,3
75,2
76,1
77,0
78,4
79,8
80,2
81,3
82,6
83,9
84,9
85,6
86,5
87,6
88,1
89,0
90,7
91,2
92,2
93,8
94,0
95,1
96,8
97,6
98,6
99,3
100,5
101,0
102,9
103,6
104,9
105,8
106,2
107,1
108,3
109,9
110,4
111,6
112,5
113,3
114,4
115,7
116,0
117,4
118,8
119,6
120,5
121,5
122,4
123,2
124,2
125,2
126,5
127,6
128,6
129,8
130,1
131,5
132,5
133,6
134,2
135,9
136,2
137,0
138,5
139,5
140,2
141,7
142,5
143,6
144,8
145,8
146,0
147,3
148,4
149,5
150,6
151,3
152,5
153,0
154,1
155,4
156,4
157,7
158,7
159,7
160,8
161,6
162,6
163,5
164,2
165,7
166,5
167,2
168,1
169,8
170,1
171,5
172,5
173,3
174,6
175,1
176,0
177,1
178,0
179,3
180,7
181,0
182,9
183,9
184,8
185,0
186,0
187,0
188,9
189,5
190,9
191,6
192,5
193,4
194,5
195,3
196,8
197,8
198,3
199,6
200,0
201,8
202,4
203,5
204,7
205,0
206,8
207,4
208,5
209,1
210,1
211,2
212,3
213,8
214,7
215,3
216,7
217,4
218,7
219,2
220,9
221,1
222,7
223,9
224,5
225,7
226,4
227,6
228,9
229,0
230,1
231,0
232,1
233,2
234,6
235,5
236,9
237,0
238,5
239,7
240,0
241,6
242,8
243,2
244,1
245,9
246,7
247,7
248,9
249,8
250,6
251,6
252,1
253,9
254,1
255,0
256,8
257,5
258,2
259,7
260,1
261,4
262,5
263,0
264,5
265,4
266,7
267,1
268,2
269,3
270,7
271,0
272,8
273,5
274,9
275,5
276,2
277,3
278,2
279,3
280,2
281,7
282,3
283,4
284,0
285,9
286,5
287,0
288,3
289,5
290,4
291,6
292,3
293,8
294,6
295,7
296,4
297,7
298,1
299,8
300,4
301,1
302,8
303,8
304,3
305,9
306,8
307,6
308,8
309,0
310,0
311,7
312,4
313,7
314,1
315,2
316,4
317,4
318,2
319,4
320,4
321,6
322,4
323,5
324,9
325,3
326,4
327,2
328,4
329,1
330,5
331,5
332,2
333,2
334,9
